,evolutionary_age,gene_dnds,gene_essentiality,gene_haplo,number_of_chem_interaction_action,number_of_chem_interaction,number_of_chem,number_of_pathway,number_of_phenotype,number_of_rare_disease,number_of_total_disease,phylogenetic_number
296,4200.0,0.12146618440887785,1.0,0.485,9,57,57,6,152,18.0,22.0,1.0
297,797.0,0.08466692367622357,0.0,0.485,7,17,13,3,0,5.0,7.0,2.0
298,454.6,0.03152540837122681,1.0,1.0,60,197,92,175,829,120.0,231.0,3.0
299,842.0,0.13624210482834667,1.0,0.747,8,24,20,3,455,33.0,39.0,2.0
300,0.0,0.4660315998020967,0.0,0.217,6,10,9,13,0,4.0,5.0,1.0
301,842.0,,,,6,20,17,0,212,5.0,5.0,1.0
302,842.0,0.21409714364159152,1.0,0.147,6,20,21,17,70,7.0,7.0,1.0
303,454.6,0.3005534424559432,0.0,0.16699999999999998,6,32,29,0,0,3.0,8.0,1.0
304,910.0,0.21190353628272898,0.0,0.7490000000000001,7,13,14,4,0,0.0,0.0,1.0
305,,,,,6,17,16,1,210,23.0,23.0,
306,910.0,0.1881961872486688,0.0,0.259,11,61,51,21,151,28.0,32.0,1.0
307,454.6,0.09130752194798984,0.0,0.495,13,54,41,0,480,75.0,105.0,1.0
308,910.0,0.18989196886547693,1.0,0.316,8,32,31,6,75,17.0,22.0,1.0
309,910.0,0.10556364500865158,0.0,0.597,9,38,31,1,222,44.0,72.0,6.0
310,842.0,0.09464045619345512,1.0,,4,26,23,0,147,4.0,6.0,2.0
311,842.0,0.07438189221480616,0.0,0.873,12,64,55,3,609,102.0,149.0,3.0
312,,0.3725532934514589,1.0,0.163,5,14,17,7,0,4.0,6.0,
313,324.5,0.5344163804808754,1.0,0.146,7,26,27,13,417,25.0,31.0,2.0
314,454.6,0.2935374763989808,0.0,,13,85,75,17,128,19.0,27.0,1.0
315,1628.0,0.09771491206200332,0.0,0.485,7,17,15,16,72,21.0,29.0,4.0
316,454.6,0.16216686840105618,1.0,0.213,0,0,0,0,0,25.0,36.0,2.0
317,910.0,0.034479931418588065,1.0,0.903,8,26,26,12,232,2.0,4.0,1.0
318,,,,,9,83,82,5,29,20.0,34.0,
319,797.0,0.035139990336877515,0.0,0.562,26,120,88,84,119,22.0,24.0,3.0
320,454.6,0.42735699566502017,1.0,0.219,13,39,32,0,29,1.0,3.0,1.0
321,842.0,0.165980163558202,1.0,0.989,34,352,228,15,437,79.0,106.0,4.0
322,454.6,0.14481822671533012,0.0,0.258,8,39,38,7,43,8.0,12.0,2.0
323,910.0,0.10405770521505127,0.0,0.626,12,27,17,9,81,15.0,29.0,7.0
324,0.0,0.25468145312624874,1.0,0.517,10,25,21,2,500,70.0,100.0,1.0
325,1628.0,0.3356609987724345,1.0,,5,13,16,0,189,7.0,8.0,1.0
326,4200.0,0.09810609451838163,0.0,0.299,10,48,48,5,0,3.0,5.0,3.0
327,910.0,,0.0,,6,18,17,0,225,13.0,14.0,3.0
328,910.0,0.11014949919517883,1.0,0.449,7,21,19,10,522,24.0,49.0,2.0
329,842.0,0.2525351138249433,0.0,,12,46,49,30,267,27.0,31.0,1.0
330,842.0,0.13379678407127715,1.0,0.563,7,21,17,0,337,36.0,50.0,1.0
331,,,,,11,49,38,0,0,2.0,4.0,
332,1368.0,0.054638193275509686,1.0,,6,40,38,7,186,1.0,1.0,2.0
333,324.5,,0.0,,0,0,0,0,0,43.0,65.0,1.0
334,910.0,0.05173562960812873,1.0,,40,143,69,112,625,88.0,146.0,3.0
335,1628.0,0.16659209153003893,0.0,0.354,5,8,8,6,20,17.0,20.0,3.0
336,454.6,0.2355006678610585,0.0,,7,30,30,3,0,2.0,2.0,3.0
337,,,,,7,15,13,0,0,3.0,3.0,
338,910.0,0.3115927798965815,0.0,0.584,13,81,70,6,105,36.0,53.0,4.0
339,842.0,0.14874136929421786,0.0,0.467,10,23,20,11,0,3.0,6.0,1.0
340,910.0,0.16851919870297755,0.0,0.988,8,37,33,0,118,3.0,6.0,1.0
341,1628.0,0.02293152288006468,0.0,,6,19,18,0,0,0.0,1.0,2.0
342,324.5,0.2766150804147655,1.0,0.225,5,17,15,0,98,37.0,73.0,2.0
343,910.0,0.1919379534771089,1.0,,7,31,30,8,0,103.0,177.0,3.0
344,454.6,0.17947023600015782,1.0,0.602,11,82,74,4,64,9.0,12.0,1.0
345,454.6,,,,5,24,24,4,0,5.0,9.0,1.0
346,324.5,0.31269755877336186,0.0,,9,27,21,15,0,24.0,70.0,1.0
347,1628.0,0.07187704033016214,1.0,0.6459999999999999,10,25,23,52,0,2.0,2.0,1.0
348,1628.0,0.08990628003652497,0.0,,32,126,95,122,323,29.0,39.0,2.0
349,1628.0,0.02900515085389486,0.0,0.8320000000000001,8,23,20,5,77,5.0,6.0,1.0
350,,,,,7,42,36,2,145,5.0,5.0,
351,361.2,,,,13,41,39,0,76,2.0,2.0,1.0
352,,,,,7,22,20,0,39,4.0,4.0,
353,1628.0,0.029532809116802644,0.0,0.615,9,26,30,20,0,1.0,1.0,4.0
